Observation,Slice#,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std
ISS_174RF_FRSTRCHAN001_PRIME_2,0,2012-11-09T05:18:21,0.0,359.98,6.443,7.286,6.864,143.816,149.517,146.667,119.127,121.815,120.471,73.543,49,5.85235,1.21377,2.97042,0.59868
ISS_176RF_FMOVIE001_PRIME,0,2012-12-06T18:33:01,0.0,359.98,8.231,9.427,8.829,103.367,111.681,107.524,146.126,148.364,147.245,73.222,88,1.11114,0.36385,0.93569,0.30745
ISS_177RF_FMOVIE001_PRIME_1,0,2012-12-18T20:33:33,0.0,359.98,9.538,9.73,9.634,93.818,96.503,95.16,135.559,136.707,136.133,73.087,40,1.13357,0.3061,0.81735,0.22141
ISS_177RF_FMOVIE001_PRIME_2,0,2012-12-19T02:29:49,0.0,359.98,9.728,10.032,9.88,89.212,92.207,90.709,139.676,141.383,140.529,73.086,40,0.97117,0.27687,0.74946,0.21462
ISS_177RF_FRSTRCHAN001_PRIME_1,0,2012-12-25T02:34:37,0.0,359.98,5.797,10.796,8.296,16.341,21.4,18.87,75.784,81.641,78.713,73.016,48,3.0674,0.74505,0.58328,0.14476
ISS_177RF_FRSTRCHAN001_PRIME_2,0,2012-12-25T09:20:29,0.0,359.98,6.336,16.68,11.508,9.765,13.516,11.641,81.488,84.342,82.915,73.015,31,5.12381,1.33829,0.61769,0.15544
ISS_178RI_EGAPMOVMP001_PRIME,0,2012-12-30T13:19:57,72.62,335.66,10.048,10.187,10.118,70.925,74.854,72.889,127.556,130.2,128.878,72.954,18,1.00973,0.26536,0.63345,0.16803
ISS_179RF_FMOVIE001_PRIME,0,2013-01-13T18:33:33,0.0,359.98,9.499,10.251,9.875,87.333,93.616,90.474,133.786,136.861,135.323,72.79,100,1.08026,0.26366,0.76781,0.18536
ISS_179RF_FRINGPHOT001_VIMS,0,2013-01-17T23:20:29,75.88,166.84,3.71,4.117,3.913,151.913,160.866,156.389,116.81,123.911,120.36,72.75,24,10.90204,2.52724,5.49485,1.10742
ISS_180RF_FMOVIE001_PRIME,0,2013-01-27T17:43:25,0.0,359.98,10.651,11.657,11.154,90.557,96.799,93.678,139.958,142.8,141.379,72.636,83,0.97105,0.22819,0.75884,0.17852
ISS_180RF_HIRESFRNG001_PRIME,0,2013-02-01T15:06:37,233.08,321.66,2.833,3.179,3.006,50.885,66.657,58.771,22.257,28.132,25.195,72.585,23,0.65155,0.10703,0.59141,0.09559
ISS_181RF_FMOVIE001_PRIME,0,2013-02-09T18:25:33,0.0,359.98,9.219,10.14,9.68,90.826,97.561,94.193,136.21,139.135,137.672,72.488,100,1.05062,0.30177,0.77745,0.22586
ISS_181RF_FRINGPHOT001_VIMS,0,2013-02-13T14:14:21,36.58,155.32,3.563,4.09,3.827,151.958,163.777,157.867,113.798,123.574,118.686,72.453,32,11.52348,3.32977,5.46636,1.26357
ISS_181RF_FRINGPHOT002_VIMS,0,2013-02-14T00:09:01,78.78,143.38,2.957,6.545,4.751,146.942,156.393,151.667,93.431,101.837,97.634,72.449,17,29.22519,6.25838,3.52068,0.96487
ISS_183RF_FMOVIE001_PRIME_1,0,2013-03-04T22:20:13,172.62,319.72,9.028,9.496,9.262,68.725,71.654,70.19,128.763,131.206,129.984,72.24,40,0.88298,0.18202,0.56826,0.11777
ISS_183RF_FMOVIE001_PRIME_2,0,2013-03-05T04:20:13,172.6,317.92,11.674,12.089,11.882,77.64,80.546,79.093,129.202,130.996,130.099,72.236,40,0.92453,0.1959,0.59561,0.12615
ISS_184RF_FMOVIE001_PRIME,0,2013-03-18T20:15:25,0.0,359.98,7.441,7.692,7.566,104.282,108.376,106.329,144.819,145.868,145.344,72.085,39,1.03292,0.29392,0.84986,0.24128
ISS_184RF_FMOVIE002_PRIME,0,2013-03-27T13:23:41,0.0,359.98,9.69,10.296,9.993,55.682,61.36,58.521,119.286,123.872,121.579,71.99,76,1.16987,0.36073,0.60988,0.18056
ISS_189RF_FMOVIE001_PRIME,0,2013-05-06T12:10:05,0.0,359.98,9.494,12.683,11.089,52.637,60.738,56.688,113.707,120.488,117.098,71.558,98,1.61681,0.72806,0.73003,0.31757
ISS_191RF_FMOVIE002_PRIME,0,2013-05-27T09:05:33,0.0,359.98,7.902,8.715,8.309,84.38,94.035,89.207,138.101,143.557,140.829,71.338,95,1.10943,0.47517,0.86075,0.37011
ISS_193RF_FMOVIE001_PRIME_1,0,2013-06-19T22:58:37,118.08,313.8,8.217,8.687,8.452,69.543,74.556,72.049,131.531,135.624,133.577,71.098,54,0.95519,0.2894,0.65865,0.2001
ISS_193RF_FMOVIE001_PRIME_2,0,2013-06-20T06:57:01,118.4,313.48,8.028,8.135,8.081,83.548,88.744,86.146,136.197,139.242,137.72,71.091,54,1.04868,0.32828,0.77603,0.24354
ISS_194RF_FMOVIE001_PRIME_1,0,2013-07-02T02:38:53,118.04,312.66,8.711,9.462,9.086,81.46,86.827,84.143,137.385,140.814,139.1,70.969,54,1.0677,0.34996,0.8064,0.26366
ISS_194RF_FMOVIE001_PRIME_2,0,2013-07-02T10:36:45,117.68,312.64,10.672,11.924,11.298,76.933,81.781,79.357,133.895,137.181,135.538,70.969,54,0.98755,0.30873,0.70441,0.22029
ISS_196RF_FMOVIE003_PRIME,0,2013-08-20T21:55:41,0.0,359.98,9.057,10.368,9.713,58.616,69.637,64.127,116.863,124.69,120.776,70.461,100,1.47931,0.60347,0.75535,0.31255
ISS_196RF_FMOVIE004_PRIME,0,2013-08-24T10:02:37,0.0,359.98,10.875,11.367,11.121,108.601,115.057,111.829,143.2,143.514,143.357,70.426,100,1.3848,0.57551,1.11146,0.46196
ISS_196RF_FMOVIE005_PRIME,0,2013-08-26T09:47:41,0.0,359.98,12.434,13.418,12.926,128.114,133.586,130.85,138.372,140.73,139.551,70.406,100,2.35264,1.05138,1.78696,0.78407
ISS_196RF_FMOVIE006_PRIME,0,2013-08-28T09:38:05,0.0,359.98,13.973,16.007,14.99,145.295,150.187,147.741,129.416,132.788,131.102,70.387,98,5.72461,1.98803,3.75664,1.27188
ISS_197RF_FMOVIE002_PRIME,0,2013-09-15T08:06:53,27.42,290.28,9.627,9.953,9.79,90.376,99.116,94.746,136.708,139.782,138.245,70.209,59,1.20655,0.58744,0.90864,0.44396
ISS_197RF_FMOVIE007_PRIME,0,2013-09-07T08:26:05,0.0,359.98,9.182,11.623,10.402,104.985,113.717,109.351,48.234,54.427,51.331,70.289,76,1.93055,0.77978,1.20231,0.49348
ISS_198RF_FMOVIE001_PRIME_1,0,2013-10-18T16:59:09,0.0,359.98,11.255,12.277,11.766,118.366,122.029,120.197,138.03,139.081,138.556,69.886,54,1.5489,0.36391,1.16229,0.2714
ISS_198RF_FMOVIE001_PRIME_2,0,2013-10-19T00:57:01,0.0,359.98,11.435,11.804,11.619,113.756,117.452,115.604,138.56,139.099,138.83,69.887,54,1.32428,0.34466,0.99696,0.25901
ISS_199RI_EGAPMOVMP001_PRIME,0,2013-11-25T04:05:17,0.72,359.08,13.23,13.684,13.457,76.389,80.077,78.233,41.975,42.691,42.333,69.532,46,0.95101,0.30388,0.70317,0.225
ISS_201RF_FMOVIE001_PRIME_1,0,2014-01-29T23:03:57,174.82,359.6,11.124,11.472,11.298,39.996,43.435,41.716,45.704,47.835,46.77,68.927,51,0.89739,0.28171,0.61478,0.19046
ISS_201RF_FMOVIE001_PRIME_2,0,2014-01-30T06:30:53,174.54,359.62,10.563,10.984,10.773,45.185,48.58,46.883,47.011,48.951,47.981,68.921,51,0.95128,0.29445,0.63689,0.1947
ISS_201RF_FMOVIE001_VIMS,0,2014-02-05T17:27:57,0.0,359.98,6.189,6.793,6.491,125.848,142.903,134.376,130.811,137.752,134.282,68.86,90,2.60258,0.78662,1.81301,0.49356
ISS_202RF_FMOVIE001_PRIME_1,0,2014-03-01T22:16:29,192.14,353.76,12.655,13.213,12.934,43.326,45.635,44.48,46.397,47.752,47.074,68.651,44,0.8359,0.20977,0.56851,0.14224
ISS_202RF_FMOVIE001_PRIME_2,0,2014-03-02T04:46:53,192.62,352.26,12.381,12.658,12.519,48.633,50.685,49.659,47.752,48.766,48.259,68.646,44,0.9161,0.21058,0.60979,0.13977
ISS_203RF_FMOVIE001_PRIME_1,0,2014-04-13T09:58:53,0.0,359.98,10.141,12.41,11.275,136.293,140.028,138.161,71.942,74.655,73.299,68.28,57,7.02512,1.62795,2.00764,0.42526
ISS_203RF_FMOVIE001_PRIME_2,0,2014-04-13T17:56:45,0.0,359.98,10.689,12.747,11.718,128.856,131.971,130.413,70.154,72.202,71.178,68.279,57,4.65994,1.07849,1.50087,0.32651
ISS_205RF_FMOVIE001_PRIME,0,2014-06-22T08:27:09,0.0,359.98,13.225,14.067,13.646,105.362,109.43,107.396,52.828,55.049,53.939,67.7,90,1.53844,0.47824,0.90495,0.27865
ISS_207RF_FMOVIE001_PRIME,0,2014-08-16T11:01:17,0.0,359.98,7.982,12.837,10.41,46.626,57.76,52.193,109.508,117.211,113.36,67.262,86,1.69002,0.57941,0.66495,0.22775
ISS_208RF_FMOVIE001_PRIME_1,0,2014-09-20T13:16:13,0.0,359.98,6.55,7.652,7.101,131.766,142.565,137.165,126.573,132.691,129.632,67.002,35,3.08809,0.84475,1.95589,0.47798
ISS_208RF_FMOVIE001_PRIME_2,0,2014-09-20T18:29:17,0.0,359.98,8.572,8.9,8.736,134.256,137.962,136.109,116.48,118.709,117.594,67.0,17,3.80912,0.72117,1.76172,0.31224
ISS_208RF_FMOVIE002_PRIME_1,0,2014-09-26T08:25:33,98.6,283.32,13.797,14.638,14.217,117.243,118.898,118.07,61.891,62.863,62.377,66.958,51,2.76706,0.99652,1.28239,0.45799
ISS_208RF_FMOVIE002_PRIME_2,0,2014-09-26T15:33:49,106.12,283.22,14.143,14.914,14.528,119.607,121.426,120.517,60.916,62.149,61.533,66.953,49,3.00479,1.05201,1.43057,0.49725
