Occultation Name,Ring Event Start Time,Ring Event End Time,Ring Event Mean Time,RevNo,Observation Name,Star Name,Direction,Minimum Wavelength,Maximum Wavelength,Data Quality Score,Minimum Inertial Longitude,Maximum Inertial Longitude,Mean Inertial Longitude,Minimum Co-Rot Longitude,Maximum Co-Rot Longitude,Mean Co-Rot Longitude,Ring Elevation,Lowest Detectable Opacity,Highest Detectable Opacity,Prometheus Distance,Equivalent Tau,Core30 ED,Core50 ED,Full ED,Before ISS ObsName,Before ISS Delta,After ISS ObsName,After ISS Delta
VIMS_2009_057_BETPEG_I,2009-02-26T08:32:27,2009-02-26T08:33:51,2009-02-26T08:33:09,104,N/A,BETPEG,INGRESS,2866.0,2977.0,GOOD,356.737,356.869,356.803,63.395,64.095,63.745,31.68,0.0108,2.0449,212.501,0.014,1.132,1.373,4.674,,45.68,ISS_105RF_FMOVIE003_PRIME,6.1
VIMS_2009_082_RCAS_I,2009-03-22T20:41:37,2009-03-22T20:44:12,2009-03-22T20:42:55,106,N/A,RCAS,INGRESS,2866.0,2977.0,GOOD,43.478,43.765,43.621,248.121,248.875,248.498,56.04,0.0061,4.0722,214.887,0.032,3.517,3.59,6.67,ISS_105RF_FMOVIE002_PRIME,11.09,ISS_106RF_FMOVIE002_PRIME,0.87
VIMS_2009_095_BETPEG_I,2009-04-05T13:51:44,2009-04-05T13:53:31,2009-04-05T13:52:37,108,N/A,BETPEG,INGRESS,2866.0,2977.0,GOOD,5.423,5.473,5.448,148.259,149.03,148.645,31.68,0.011,2.0379,214.107,0.038,3.75,4.007,10.23,ISS_106RF_FMOVIE002_PRIME,12.85,ISS_108RF_FMOVIE001_PRIME,11.07
VIMS_2009_209_ALPSCO_I,2009-07-27T22:11:08,2009-07-27T22:16:02,2009-07-27T22:13:35,115,N/A,ALPSCO,INGRESS,2866.0,2977.0,FAIR,174.026,174.177,174.102,231.838,233.972,232.905,-32.16,0.0008,3.4363,210.617,0.111,13.514,13.874,16.996,,62.39,ISS_115RF_FMOVIEEQX001_PRIME,2.38
VIMS_2012_266_BETPEG_I,2012-09-22T17:34:12,2012-09-22T17:37:48,2012-09-22T17:36:00,172,N/A,BETPEG,INGRESS,2866.0,2977.0,GOOD,300.057,300.173,300.114,145.933,147.273,146.602,31.68,0.0066,2.3008,286.012,0.045,4.436,4.944,8.649,ISS_172RF_FMOVIE001_PRIME,1.73,ISS_172RI_EGAPMOVMP002_PRIME,9.12
VIMS_2012_292_LAMVEL_I,2012-10-18T10:12:17,2012-10-18T10:13:58,2012-10-18T10:13:07,173,N/A,LAMVEL,INGRESS,2866.0,2977.0,GOOD,126.006,126.223,126.114,140.293,140.758,140.525,-43.81,0.0171,2.5724,293.293,0.03,2.331,3.081,9.872,ISS_173RF_FMOVIE001_PRIME_2,2.1,,49.65
VIMS_2012_339_RLYR_I,2012-12-04T15:03:12,2012-12-04T15:10:09,2012-12-04T15:06:41,176,N/A,RLYR,BOTH,2866.0,2977.0,GOOD,232.466,232.948,232.708,134.524,137.815,136.173,40.77,0.0005,4.7545,305.559,0.082,12.824,13.409,14.759,,49.31,ISS_176RF_FMOVIE001_PRIME,2.44
VIMS_2013_019_WHYA_I,2013-01-19T19:33:22,2013-01-19T19:35:08,2013-01-19T19:34:15,179,N/A,WHYA,INGRESS,2866.0,2977.0,GOOD,125.689,125.87,125.779,150.494,151.029,150.761,-34.65,0.0068,2.519,305.855,0.087,7.796,9.203,17.022,ISS_179RF_FRINGPHOT001_VIMS,1.76,ISS_180RF_FMOVIE001_PRIME,8.18
VIMS_2013_027_RLYR_I,2013-01-26T18:38:59,2013-01-26T18:46:10,2013-01-26T18:42:34,180,N/A,RLYR,BOTH,2866.0,2977.0,GOOD,230.836,231.341,231.09,161.507,164.909,163.212,40.77,0.0006,4.6043,306.478,0.081,10.732,11.309,15.629,ISS_179RF_FRINGPHOT001_VIMS,8.72,ISS_180RF_FMOVIE001_PRIME,1.22
VIMS_2013_046_WHYA_I,2013-02-15T10:04:07,2013-02-15T10:05:54,2013-02-15T10:05:00,181,N/A,WHYA,INGRESS,2866.0,2977.0,GOOD,125.942,126.127,126.034,147.779,148.312,148.045,-34.65,0.006,2.5871,311.213,0.038,3.039,4.02,7.621,ISS_181RF_FRINGPHOT001_VIMS,1.72,,80.39
VIMS_2013_090_MUCEP_E,2013-03-31T20:13:02,2013-03-31T20:17:14,2013-03-31T20:15:08,185,N/A,MUCEP,EGRESS,2866.0,2977.0,FAIR,73.045,73.279,73.162,161.445,162.908,162.177,59.9,0.009,3.9589,325.78,0.034,3.463,3.749,6.917,ISS_184RF_FMOVIE002_PRIME,4.05,,35.96
VIMS_2013_094_RHYA_I,2013-04-04T08:04:05,2013-04-04T08:06:15,2013-04-04T08:05:10,185,N/A,RHYA,BOTH,2866.0,2977.0,FAIR,54.567,54.948,54.759,270.297,271.555,270.928,-29.41,0.0006,3.327,326.367,0.055,5.196,5.833,11.47,ISS_184RF_FMOVIE002_PRIME,7.54,,32.47
VIMS_2013_102_RDOR_I,2013-04-12T15:48:38,2013-04-12T15:50:50,2013-04-12T15:49:44,186,N/A,RDOR,BOTH,2866.0,2977.0,GOOD,142.524,143.138,142.83,195.398,195.674,195.536,-56.27,0.0003,6.4886,328.357,0.03,2.471,3.058,5.995,ISS_184RF_FMOVIE002_PRIME,15.87,ISS_189RF_FMOVIE001_PRIME,24.15
VIMS_2013_103_WHYA_E,2013-04-13T22:18:59,2013-04-13T22:20:48,2013-04-13T22:19:53,186,N/A,WHYA,EGRESS,2866.0,2977.0,GOOD,290.197,290.275,290.236,322.897,323.709,323.303,-34.65,0.0089,2.369,328.356,0.055,3.422,5.69,8.393,ISS_184RF_FMOVIE002_PRIME,17.14,ISS_189RF_FMOVIE001_PRIME,22.88
VIMS_2013_112_GAMCRU_I,2013-04-22T13:58:01,2013-04-22T14:00:11,2013-04-22T13:59:06,187,N/A,GAMCRU,BOTH,2866.0,2977.0,FAIR,125.461,125.684,125.572,163.026,163.676,163.351,-62.35,0.0007,6.393,328.921,0.08,9.507,10.391,10.796,ISS_184RF_FMOVIE002_PRIME,25.79,ISS_189RF_FMOVIE001_PRIME,14.22
